Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.47040251,0.5,1.0,0.8770800799999999,0.05,1.0,0.30685222
1,0.47277376,0.5,0.99525,0.82312764,0.05,1.0,0.1991945
2,0.47277376,0.5,0.99525,0.76419574,0.05,0.89655,0.1534432
3,0.47277376,0.5,0.99764,0.7300101600000001,0.05,0.51724,0.08268902
4,0.47514501,0.5,0.99525,0.6958216199999999,0.05,0.51724,0.08602538000000001
5,0.47514501,0.5,0.75001,0.6836830199999999,0.05,0.27586,0.05644878000000001
6,0.56998501,0.375,0.75,0.61147074,0.05,0.27586,0.05994892
7,0.56998501,0.375,0.625,0.57725,0.05,0.24138,0.05513198
8,0.56998501,0.375,0.625,0.5285,0.05,0.27586,0.058549739999999996
9,0.56998501,0.375,0.54918,0.49734836,0.05,0.27586,0.054424160000000006
10,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
11,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
12,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
13,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
14,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
15,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
16,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
17,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
18,0.56998501,0.375,0.5,0.4995,0.05,0.24138,0.05076552000000001
19,0.57429501,0.375,0.5,0.49975,0.05,0.2069,0.0503138
20,0.57429501,0.375,0.5,0.49975,0.05,0.2069,0.0503138
21,0.57429501,0.375,0.5,0.49975,0.05,0.2069,0.0503138
22,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
23,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
24,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
25,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
26,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
27,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
28,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
29,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
30,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
31,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
32,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
33,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
34,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
35,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
36,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
37,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
38,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
39,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
40,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
41,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
42,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
43,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
44,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
45,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
46,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
47,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
48,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
49,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
50,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
51,0.57429501,0.375,0.5,0.4995,0.05,0.2069,0.0506276
