Generation,Hypervolume,Min error,Max error,Avg error,Min gate fit,Max gate fit,Avg gate fit
0,0.9101912156,0.01113,0.875,0.41601957000000006,0.005,0.65517,0.17407672000000002
1,0.915141854,0.01113,0.875,0.51615166,0.005,0.65517,0.10798517999999999
2,0.9164821898,0.01113,0.875,0.52155304,0.005,0.62069,0.10420019000000001
3,0.9214380390000001,0.01113,0.875,0.48663223,0.005,0.65517,0.10113269
4,0.9259618537999998,0.01113,0.875,0.47789923000000006,0.005,0.65517,0.11457318000000001
5,0.9263356711999999,0.01113,0.875,0.48439817999999996,0.005,0.68966,0.11365422999999998
6,0.9328340711999998,0.00084,0.875,0.5185497800000001,0.005,0.68966,0.10343914
7,0.9370219501999999,0.00084,0.875,0.47083966,0.005,0.68966,0.13638976
8,0.9417665203,-0.0,0.875,0.38887564999999996,0.005,0.68966,0.19148955999999998
9,0.9428712807999999,-0.0,0.875,0.31585261,0.005,0.68966,0.25508495000000003
10,0.9428712807999999,-0.0,0.875,0.26385393999999995,0.005,0.65517,0.3017965
11,0.9429143807999999,-0.0,0.875,0.33764332,0.005,0.62069,0.25982025999999997
12,0.94291576,-0.0,0.875,0.28620915,0.005,0.65517,0.24642825
13,0.94291576,-0.0,0.875,0.28242721,0.005,0.68966,0.21465929999999997
14,0.94291576,-0.0,0.875,0.19144331,0.005,0.62069,0.24002222999999995
15,0.94291576,-0.0,0.875,0.14729440999999996,0.005,0.65517,0.24101576999999996
16,0.94291576,-0.0,0.75,0.12376733000000001,0.005,0.75862,0.24335809999999994
17,0.94291576,-0.0,0.875,0.11928749,0.005,0.62069,0.23891477999999997
18,0.94291576,-0.0,0.75,0.08932262,0.005,0.72414,0.25695277999999994
19,0.94291576,-0.0,0.875,0.09800206,0.005,0.58621,0.24478584999999997
20,0.94291576,-0.0,0.875,0.11220485000000001,0.005,0.68966,0.24555439999999995
21,0.94291576,-0.0,0.875,0.1105057,0.005,0.62069,0.24466799999999994
22,0.94291576,-0.0,0.75,0.10383937,0.005,0.68966,0.24316018999999997
23,0.94291576,-0.0,0.875,0.11407582000000001,0.005,0.65517,0.24124407999999997
24,0.94291576,-0.0,0.875,0.12132967,0.005,0.58621,0.23902763999999996
25,0.94291576,-0.0,0.875,0.10997958000000001,0.005,0.62069,0.23937706999999994
26,0.94291576,-0.0,0.875,0.11305046,0.005,0.65517,0.24126955999999997
27,0.94291576,-0.0,0.75,0.11856677,0.005,0.58621,0.24318065999999997
28,0.94291576,-0.0,0.75,0.09951278999999999,0.005,0.65517,0.25588369999999994
29,0.94291576,-0.0,0.875,0.10877320000000001,0.005,0.65517,0.25029791999999995
30,0.94291576,-0.0,0.75,0.1187517,0.005,0.55172,0.24343190999999995
31,0.94291576,-0.0,0.875,0.1292652,0.005,0.62069,0.24338295999999998
32,0.94291576,-0.0,0.875,0.12224229,0.005,0.65517,0.24574277999999994
33,0.94291576,-0.0,0.75,0.12435095,0.005,0.62069,0.23993474999999995
34,0.94291576,-0.0,0.875,0.12515010000000001,0.005,0.62069,0.23801374999999997
35,0.94291576,-0.0,0.75,0.11793504999999999,0.005,0.55172,0.23894967999999997
36,0.94291576,-0.0,0.875,0.12768923,0.005,0.62069,0.23771332999999997
37,0.94291576,-0.0,0.875,0.11740162999999999,0.005,0.68966,0.24323011999999994
38,0.94291576,-0.0,0.75,0.11903470000000001,0.005,0.58621,0.23925052999999996
39,0.94291576,-0.0,0.75,0.10913668,0.005,0.58621,0.23948095999999996
40,0.94291576,-0.0,0.75,0.12450071999999998,0.005,0.62069,0.24294476999999995
41,0.94291576,-0.0,0.875,0.11326133,0.005,0.55172,0.24135304999999996
42,0.94291576,-0.0,0.875,0.14263235,0.005,0.68966,0.22854683999999997
43,0.94291576,-0.0,0.875,0.20087611,0.005,0.58621,0.21419658999999996
44,0.94291576,-0.0,0.75,0.29043335000000003,0.005,0.75862,0.19183997
45,0.94291576,-0.0,0.875,0.33962248,0.005,0.65517,0.17575668999999997
46,0.94291576,-0.0,0.875,0.22222166000000002,0.005,0.72414,0.21378587
47,0.94291576,-0.0,0.875,0.28814177,0.005,0.72414,0.20592839
48,0.94291576,-0.0,0.875,0.21286103000000003,0.005,0.62069,0.21599066999999997
49,0.94291576,-0.0,0.875,0.19524921,0.005,0.65517,0.24219587999999997
50,0.94291576,-0.0,0.875,0.21454723,0.005,0.65517,0.22629650999999998
51,0.94291576,-0.0,0.875,0.24584118000000002,0.005,0.62069,0.21194035999999997
52,0.94291576,-0.0,0.875,0.2579036,0.005,0.72414,0.21400038999999998
53,0.94291576,-0.0,0.875,0.27979863,0.005,0.65517,0.20722379
54,0.94291576,-0.0,0.875,0.27390057,0.005,0.65517,0.23063537999999997
55,0.94291576,-0.0,0.875,0.2509717,0.005,0.75862,0.22875679
56,0.94291576,-0.0,0.875,0.23603791000000002,0.005,0.62069,0.22912997999999998
57,0.94291576,-0.0,0.875,0.26045574,0.005,0.86207,0.2284423
58,0.94291576,-0.0,0.875,0.26790654999999997,0.005,0.65517,0.20935895999999996
59,0.94291576,-0.0,0.875,0.28274284,0.005,0.72414,0.20748360999999998
60,0.94291576,-0.0,0.875,0.27749955,0.005,0.65517,0.19585444999999999
61,0.94291576,-0.0,0.875,0.27018197,0.005,0.62069,0.19984335999999997
62,0.94291576,-0.0,0.875,0.2707345300000001,0.005,0.68966,0.19877446999999998
63,0.94291576,-0.0,0.875,0.27514517,0.005,0.65517,0.19856694
64,0.94291576,-0.0,0.875,0.26580560000000003,0.005,0.62069,0.19300532999999995
65,0.94291576,-0.0,0.875,0.27466445999999994,0.005,0.62069,0.19536122999999997
66,0.94291576,-0.0,0.875,0.25018280000000004,0.005,0.68966,0.20892985
67,0.94291576,-0.0,0.875,0.25452735,0.005,0.65517,0.20841313999999994
68,0.94291576,-0.0,0.875,0.23660735999999996,0.005,0.68966,0.23244484999999998
69,0.94291576,-0.0,0.875,0.24755793,0.005,0.68966,0.22866328
70,0.94291576,-0.0,0.875,0.21833369000000002,0.005,0.68966,0.22307419999999997
71,0.94291576,-0.0,0.875,0.32095472999999997,0.005,0.72414,0.17931320999999997
72,0.94291576,-0.0,0.875,0.32660179999999994,0.005,0.65517,0.18618541999999996
73,0.94291576,-0.0,0.875,0.30220538999999996,0.005,0.58621,0.18851974999999999
74,0.94291576,-0.0,0.875,0.29895299999999997,0.005,0.68966,0.18912005999999998
75,0.94291576,-0.0,0.875,0.29381515,0.005,0.68966,0.19368563999999996
76,0.94291576,-0.0,0.875,0.29888015,0.005,0.65517,0.19257775
77,0.94291576,-0.0,0.875,0.28480499000000004,0.005,0.68966,0.19349883999999998
78,0.94291576,-0.0,0.875,0.27999244,0.005,0.68966,0.19534976999999998
79,0.94291576,-0.0,0.875,0.27412042,0.005,0.65517,0.19731534999999997
80,0.94291576,-0.0,0.875,0.27682837,0.005,0.72414,0.20234931999999997
81,0.94291576,-0.0,0.875,0.28932518,0.005,0.62069,0.19287811
82,0.94291576,-0.0,0.875,0.27823371,0.005,0.58621,0.20049777
